,,,,,,,,,Starts from 01/12/2025,,,,,,
Печатная книга,印刷书籍,"


Printed Book

",Современные печатные издания (с 2011 г.),现代印刷物（自2011年起）,Modern Printed Publications (since 2011),Книги,书籍,Books,All,12.00%,22.00%,22.00%,11.00%,21.00%,21.00%
Обложка для документов,文件保护套,Car Document Holder,Аксессуары,配饰,Accessories,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Автостекло,汽车挡风玻璃,"


Car Glass

",Кузовные запчасти,车体配件,Automotive Body Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Плафон в салон автомобиля,车内灯罩,"


Car Interior Lampshade

",Автоаксессуары,汽车配件,Car Accessories,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Купальник слитный,连体泳衣,"


One-Piece Swimsuit

",Белье,内衣,Underwear,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Ремкомплект для пультов,遥控器维修套件,"


Remote Control Repair Kit

",Устройства ручного ввода,手动输入设备,Manual Input Devices,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
Декроттуар для очистки обуви,鞋子清洁护理刷,Cast Iron Boot Scraper,Садовый декор и теплицы,花园装饰和温室,Garden Decor & Greenhouses,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Стакан,玻璃杯,"


Glass

",Питьевая посуда и аксессуары,饮具及附属用品,Drinking Utensils & Accessories,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Клин монтажный,装配楔块,Mounting Wedge,Крепеж и фурнитура,紧固件和配件,Fasteners and Accessories,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
"Фитинг, арматура для бассейна",泳池配件、装备品,"


Pool Fitting

",Бассейн,游泳池,Pool,"Батуты, бассейны и Sup-доски",蹦床、游泳池和立式桨板,"Trampolines, Pools, and SUP Boards",All,12.00%,16.00%,16.00%,11.00%,15.00%,15.00%
Тумба с раковиной,洗脸盆柜,"


Cabinet with Washbasin

",Мебель для ванной,浴室家具,Bathroom Furniture,Мебель,家具,Furniture,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
"Болты, гайки, хомуты, стяжки",螺栓、螺母、卡箍、扎带,"


Bolts, Nuts, Clamps, Screeds

",Автомобильный крепеж,汽车紧固件,Automotive Fasteners,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Ваза на кладбище,墓地里花瓶,"


Cemetery Vase

","Ритуальные, религиозные товары",仪式、宗教用品,"Ritual, Religious Supplies",Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Комплект защиты для спорта,运动防护套件,Sports Protection Kit,Экипировка и защита,装备与护具,Equipment & Protection,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Временная татуировка,暂时性纹身,"


Temporary Tattoo

",Товары для праздников,节庆商品,Party Supplies,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Дюбель,螺丝锚,"


Dowel

",Крепеж и фурнитура,紧固件和配件,Fasteners and Accessories,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Сверло,钻头,"


Drill

",Расходники для инструмента,工具耗材,Tool Consumables,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Мясорубка ручная,手动绞肉机,Manual Meat Grinder,Аксессуары для приготовления пищи,烹饪配件,Cooking Accessories,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Ключ зажигания,汽车智能遥控钥匙,Ignition Key,Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Сборная модель железнодорожной техники,铁路设备组装模型,"


Prefabricated Railway Equipment Model

","Пазлы, модели для сборки",拼图， 模型,"Puzzles, Assembly Models","Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Контактная проводящая паста,电接触导电膏,"


Contact Conductive Paste

",Расходники для инструмента,工具耗材,Tool Consumables,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Чехол для колес велосипеда,自行车车轮套,"


Bicycle Wheel Cover

",Спортивные чехлы и сумки,运动套和包,Sport Cases & Bags,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Весы медицинские,医用秤,"


Medical Scales

",Медицинские приборы,医疗器械,Medical Devices,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Комбинезон домашний,家居连体裤,"


Home Jumpsuit

",Одежда,服装,Clothing,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Таймер,定时器,"


Timer

",Часы,表,Clocks & Watches,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Термобак спортивный,运动保温袋,"


Sports Thermo Belt

",Спортивные чехлы и сумки,运动套和包,Sport Cases & Bags,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Поднос,餐盘,"


Tray

",Аксессуары для приготовления пищи,烹饪配件,Cooking Accessories,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Турка,土耳其咖啡壶,"


Turkish Coffee Pot

",Посуда для приготовления,炊具,Cookware,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Ватные палочки для полости рта,口腔棉签,"


Oral Care Cotton Buds

",Личная гигиена,个人卫生,Personal Hygiene,Средства для реабилитации,康复设备,Rehabilitation Products,All,12.00%,14.00%,17.00%,11.00%,13.00%,16.00%
Жилет,马甲,Waistcoat,Одежда,服装,Clothing,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Телевизор,电视机,"


TV

",Телевизоры,电视,TVs,Телевизоры,电视机,TVs,All,9.00%,9.00%,9.00%,8.00%,8.00%,8.00%
Книга-пазл,拼图书,Puzzle Book,Конструкторы,积木玩具套装,Construction Kits,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Комплект термобелья,保暖内衣套装,Thermal Underwear Set,Белье,内衣,Underwear,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Кабель для компьютерной периферии,计算机外围设备电缆,Cable for Computer Peripherals,Кабели и переходники,电缆和适配器,Cables & Adapters,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
Генератор водородной воды,富氢水生成器,"


Hydrogen Water Generator

",Медицинское оборудование,医疗设备,Medical Equipment,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Ключ,扳手,Key,Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Валенки,毡靴,"


Felt Boots

",Повседневная обувь,休闲鞋,Casual Footwear,Обувь,鞋类,Footwear,All,12.00%,12.00%,12.00%,11.00%,11.00%,11.00%
Подшлемник,头盔帽,"


Helmet Cap

",Аксессуары,配饰,Accessories,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Песок для песочницы,沙箱用沙子,"


Sandbox Play Sand

",Игровые и спортивные комплексы,游戏及体育设施,Playground & Sports Complexes,Спорт детский,儿童运动用品,Kids Sports,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Подставка для коллекционной куклы,可收藏的娃娃架,"


Collectible Doll Stand

",Коллекционирование,收藏品,Collectibles,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Овес,燕麦,Oat,"Сухие завтраки, снэки, суперфудс",谷物片，零食，超级食物,"Breakfast Cereals, Snacks, Superfoods",Продукты питания,食品,Food,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Ростомер,身长计,"


Height Meter

",Декор и интерьер,装饰和房间内饰,Decor & Interior,"Детская электроника, мебель, аксессуары",儿童电子产品、家具、配件,"Kids Electronics, Furniture, Accessories",All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Фильтр воздушный,空气滤清器,Air Filter,Автофильтры,汽车滤清器,Car Filters,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Анализатор портативный,便携式分析仪,"


Portable Analyzer

",Медицинские приборы,医疗器械,Medical Devices,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Юбка,短裙,"


Skirt

",Одежда,服装,Clothing,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
